Conf,CNo.,ION,CION,SOL
3, 130, 2, 2, 6
3, 131, 1, 0, 6
3, 132, 2, 0, 4
3, 133, 1, 1, 4
3, 134, 1, 0, 4
3, 135, 1, 0, 3
3, 136, 1, 0, 2
3, 137, 1, 0, 2
3, 138, 1, 0, 1
3, 139, 1, 0, 0
3, 140, 2, 0, 7
3, 141, 2, 0, 1
3, 142, 1, 1, 2
3, 143, 2, 0, 3
3, 144, 1, 0, 6
3, 145, 1, 1, 3
3, 146, 1, 0, 0
3, 147, 1, 0, 11
3, 148, 1, 0, 2
3, 149, 1, 0, 1
3, 150, 1, 1, 6
3, 151, 2, 1, 5
3, 152, 2, 0, 8
3, 153, 1, 0, 4
3, 154, 1, 0, 5
3, 155, 1, 0, 2
3, 156, 2, 1, 2
3, 157, 1, 0, 4
3, 158, 1, 0, 4
3, 159, 1, 0, 4
3, 160, 1, 3, 1
3, 161, 1, 0, 6
3, 162, 1, 0, 1
3, 163, 1, 2, 2
3, 164, 2, 2, 7
3, 165, 1, 0, 2
3, 166, 1, 1, 3
3, 167, 1, 0, 0
3, 168, 1, 0, 1
3, 169, 1, 2, 0
3, 170, 1, 0, 3
3, 171, 1, 0, 3
3, 172, 3, 0, 1
3, 173, 1, 0, 1
3, 174, 1, 0, 4
3, 175, 2, 0, 8
3, 176, 1, 0, 2
3, 177, 1, 0, 3
3, 178, 1, 0, 2
3, 179, 1, 0, 2
3, 180, 1, 0, 4
3, 181, 1, 0, 6
3, 182, 1, 1, 3
3, 183, 1, 0, 2
3, 184, 1, 0, 1
3, 185, 1, 1, 3
3, 186, 1, 1, 1
3, 187, 1, 0, 0
3, 188, 1, 0, 3
3, 189, 1, 0, 4
3, 190, 1, 0, 5
3, 191, 1, 0, 3
3, 192, 1, 0, 4
3, 193, 1, 0, 4
3, 194, 1, 1, 1
3, 195, 1, 0, 7
3, 196, 1, 1, 1
3, 197, 1, 2, 2
3, 198, 1, 0, 2
3, 199, 1, 0, 7
3, 200, 1, 0, 5
3, 201, 1, 1, 3
3, 202, 1, 1, 4
3, 203, 2, 0, 11
3, 204, 1, 1, 2
3, 205, 1, 0, 3
4, 0, 939, 777, 1240
4, 1, 1, 0, 2
4, 2, 6, 3, 13
4, 3, 1, 1, 3
4, 4, 1, 2, 3
4, 5, 1, 0, 2
4, 6, 1, 0, 3
4, 7, 1, 0, 5
4, 8, 2, 1, 9
4, 9, 2, 0, 0
4, 10, 1, 0, 0
4, 11, 2, 2, 3
4, 12, 2, 0, 7
4, 13, 1, 0, 1
4, 14, 9, 3, 19
4, 15, 8, 4, 11
4, 16, 1, 0, 2
4, 17, 2, 0, 5
4, 18, 1, 0, 2
4, 19, 1, 0, 1
4, 20, 2, 0, 8
4, 21, 4, 1, 8
4, 22, 6, 4, 7
